date,brl_usd,brl_usd_mm30,usdt_volume,usdc_volume,usdt_volume_mm30,usdt_close,stablecoin_vol_total,stablecoin_vol_total_mm30,dxy,vix,dxy_var_30d,brl_adj_dxy_30d,brl_usd_var_30d,ipca_mensal,selic_meta,ibc_br,divida_bruta_pib,desvio_meta_ipca,semestre,trimestre,ano,mes_num,variacao_usdt_30d,variacao_cambio_30d,divida_pib_var,ibc_br_var,ipca_desvio_meta,score_copom,irf_v2,irf,irf_v2_mm7d,irf_v2_mm30d,irf_v2_nivel
2022-01-03,5.569300174713135,5.569300174713135,54125933259,2979943098,46888355195.0,1.0001649856567385,57105876357,49597340644.333336,96.23999786376952,16.600000381469727,,,,0.5703225806451613,9.25,97.41454161290322,88.33419354838709,,2022-S1,1,2022,1,,,,,0.0,0.8,,,,,
2022-01-04,5.68120002746582,5.6252501010894775,60765931554,3450318436,50357749284.75,1.000208020210266,64216249990,53252067980.75,96.29000091552734,16.90999984741211,,,,0.585483870967742,9.25,97.44980741935484,88.36129032258064,,2022-S1,1,2022,1,,,0.030675294701931755,0.03620178863208423,0.0,0.8,,,,,
2022-01-05,5.676199913024902,5.642233371734619,77225535519,4834405737,55731306531.6,1.0001219511032104,82059941256,59013642635.8,96.19000244140624,19.729999542236328,,,,0.6006451612903226,9.25,97.48507322580645,88.3883870967742,,2022-S1,1,2022,1,,,0.030665887850478413,0.03618868767985006,0.0,0.8,,,,,
2022-01-06,5.705635070800781,5.65808379650116,71751236899,4569272674,58401294926.16666,1.000195026397705,76320509573,61898120458.66666,96.25,19.61000061035156,,,,0.6158064516129033,9.25,97.52033903225806,88.41548387096775,,2022-S1,1,2022,1,,,0.03065648676661148,0.03617559620634481,0.0,0.8,,,,,
2022-01-07,5.682400226593018,5.662947082519532,82344370614,4710183601,61821734310.14286,1.0002520084381104,87054554215,65491896709.57143,95.73999786376952,18.76000022888184,,,,0.6309677419354839,9.25,97.55560483870968,88.44258064516129,,2022-S1,1,2022,1,,,0.030647091445068497,0.036162514201221185,0.0,0.8,,,,,
2022-01-10,5.632199764251709,5.657822529474895,68455690767,4659945891,61271194698.8,1.000180959701538,73115636658,65026374352.6,95.98999786376952,19.399999618530277,,,,0.6764516129032259,9.25,97.66140225806453,88.52387096774194,,2022-S1,1,2022,1,,,0.09191310564171662,0.10844832496272883,0.0,0.8,,,,,
2022-01-11,5.662199974060059,5.658447878701346,59061400900,3645526457,61070304353.454544,1.0003620386123655,62706927357,64815515534.81818,95.62000274658205,18.40999984741211,,,,0.6916129032258065,9.25,97.69666806451612,88.55096774193548,,2022-S1,1,2022,1,,,0.03060956767628742,0.036110280659706895,0.0,0.8,,,,,
2022-01-12,5.567299842834473,5.647054374217987,62300703831,3486307844,61172837643.25,1.000290036201477,65787011675,64896473546.5,95.0,17.6200008392334,,,,0.7067741935483871,9.25,97.73193387096774,88.57806451612903,4.480645161290323,2022-S1,1,2022,1,,,0.03060020108704986,0.0360972458429476,4.480645161290323,0.8,,,,,
2022-01-13,5.533199787139893,5.634403864542644,63231903910,3601566982,61331227356.07692,1.000404953956604,66833470892,65045473342.30769,94.79000091552734,20.309999465942383,,,,0.7219354838709677,9.25,97.76719967741936,88.60516129032258,4.662580645161291,2022-S1,1,2022,1,,,0.03059084022840608,0.03608422043319681,4.662580645161291,0.8,,,,,
2022-01-14,5.526700019836426,5.623633480072021,60503324000,4005995393,61272091402.07143,1.0002830028533936,64509319393,65007176631.64286,95.16999816894533,19.190000534057617,,,,0.7370967741935484,9.25,97.80246548387098,88.63225806451614,4.844516129032258,2022-S1,1,2022,1,,,0.030581485095160232,0.03607120442026268,4.844516129032258,0.8,,,,,
2022-01-17,5.533299922943115,5.615421338514849,51430977642,3025152126,58394978098.70588,1.0003679990768433,54456129768,61950928856.82353,,,,,,0.7825806451612903,9.25,97.9082629032258,88.71354838709678,5.390322580645162,2022-S1,1,2022,1,,,0.09171640704614958,0.10817459338208213,5.390322580645162,0.8,,,,,
2022-01-18,5.5157999992370605,5.607119560241699,52799723207,3223501722,58084130604.72222,1.0004199743270874,56023224929,61621611971.94444,95.7300033569336,22.790000915527344,,,,0.7977419354838711,9.25,97.94352870967742,88.74064516129033,5.572258064516129,2022-S1,1,2022,1,,,0.030544121711062466,0.036019234133966016,5.572258064516129,0.8,,,,,
2022-01-19,5.565700054168701,5.60393344438993,50127231375,3239858099,57665346434.73684,1.0004899501800537,53367089474,61187163419.42105,95.51000213623048,23.850000381469727,,,,0.8129032258064517,9.25,97.97879451612904,88.76774193548387,5.7541935483870965,2022-S1,1,2022,1,,,0.030534795126047065,0.03600626495310344,5.7541935483870965,0.8,,,,,
2022-01-20,5.43720006942749,5.592023917606899,38591713522,3125580294,56711664789.1,1.0002570152282717,41717293816,60213669939.25,95.73999786376952,25.59000015258789,,,,0.8280645161290323,9.25,98.01406032258063,88.79483870967742,5.936129032258064,2022-S1,1,2022,1,,,0.030525474235054695,0.03599330510826171,5.936129032258064,0.8,,,,,
2022-01-21,5.418099880218506,5.580428981781006,86570105642,7940219543,58133495305.90476,1.000177025794983,94510325185,61846843998.57143,95.63999938964844,28.850000381469727,,,,0.8432258064516129,9.25,98.04932612903228,88.82193548387097,6.118064516129033,2022-S1,1,2022,1,,,0.03051615903277849,0.03598035458951543,6.118064516129033,0.8,,,,,
2022-01-24,5.457099914550781,5.572720915079117,88845381041,7468827146,60724469864.25,1.0004390478134155,96314208187,64764744185.041664,95.91999816894533,29.899999618530277,,,,0.8887096774193548,9.25,98.1551235483871,88.90322580645162,6.663870967741936,2022-S1,1,2022,1,,,0.09152054854220104,0.10790224015979621,6.663870967741936,0.8,,,,,
2022-01-25,5.486100196838379,5.567625578712015,58560287216,4146328235,60637902558.32,1.0006040334701538,62706615451,64682419035.68,95.9499969482422,31.15999984741211,,,,0.9038709677419356,9.25,98.19038935483871,88.93032258064517,6.845806451612905,2022-S1,1,2022,1,,,0.030478955007251507,0.035928645573179985,6.845806451612905,0.8,,,,,
2022-01-26,5.440703868865967,5.560574372609456,70750980627,83252070566791,61026867099.42308,1.000630021095276,83322821547418,3266918539358.077,96.48999786376952,31.959999084472656,,,,0.9190322580645162,9.25,98.22565516129032,88.95741935483872,7.027741935483871,2022-S1,1,2022,1,,,0.03046966817081831,0.03591574153367638,7.027741935483871,0.8,,,,,
2022-01-27,5.429166793823242,5.553658184252288,53950927548,5023632111,60764795264.18519,1.0003440380096436,58974559659,3148105799369.222,97.26000213623048,30.489999771118164,,,,0.9341935483870968,9.25,98.26092096774194,88.98451612903226,7.20967741935484,2022-S1,1,2022,1,,,0.030460386991948418,0.035902846760049734,7.20967741935484,0.8,,,,,
2022-01-28,5.40348482131958,5.546149516105652,50688257403,4809047239,60404918912.0,1.00034499168396,55497304642,3037655495986.107,97.2699966430664,27.65999984741211,,,,0.9493548387096776,9.25,98.29618677419356,89.01161290322581,7.391612903225807,2022-S1,1,2022,1,,,0.030451111465579217,0.035889961242263624,7.391612903225807,0.8,,,,,
2022-01-31,5.362599849700928,5.537409055800665,45082693892,2977541960,58916170665.73333,1.0004849433898926,48060235852,5435830418313.7,96.54000091552734,24.82999992370605,,,,0.9948387096774194,9.25,98.4019841935484,89.09290322580645,7.937419354838711,2022-S1,1,2022,1,,,0.09132552475936695,0.10763125491111136,7.937419354838711,0.8,,,,,
2022-02-01,5.303100109100342,5.526758649132469,43193864245,3093316095,58915868713.833336,1.0004260540008545,46287180340,5435850175092.134,96.38999938964844,21.959999084472656,,,,1.01,9.25,98.43725,89.12,8.119354838709679,2022-S1,1,2022,2,,,0.030414065781281252,0.03583851153066142,8.119354838709679,0.8,,,,,
2022-02-02,5.264500141143799,5.515356105306874,44198324772,2735917325,58584948430.93333,1.000380039215088,46934242097,5435511120616.8,95.94000244140624,22.09000015258789,,,,1.0317857142857143,9.25,98.47734142857144,89.03607142857143,8.30791474654378,2022-S1,1,2022,2,,,-0.09417478840728633,0.04072790388947034,8.30791474654378,0.8,,,,,
2022-02-03,5.260900020599365,5.504753768444061,41979444063,2639131315,57958732181.23333,1.0003859996795654,44618575378,5434857864796.4,95.37999725341795,24.350000381469727,,,,1.0535714285714286,10.75,98.51743285714286,88.95214285714286,8.503099078341014,2022-S1,1,2022,2,,,-0.09426356091631893,0.04071132302094771,8.503099078341014,0.8,,,,,
2022-02-04,5.282899856567383,5.495879611968994,59154422463,5446795900,57356361746.03333,1.0005630254745483,64601218363,5434275907366.634,95.4800033569336,23.21999931335449,,,,1.075357142857143,10.75,98.5575242857143,88.86821428571429,8.704907834101382,2022-S1,1,2022,2,,,-0.09435250094352865,0.04069475564751901,8.704907834101382,0.8,,,,,
2022-02-07,5.326900005340576,5.489380396329439,64635714287,3534437072,55336489425.66666,1.0005550384521484,68170151359,5432187000647.467,95.4000015258789,22.86000061035156,,,,1.1407142857142858,10.75,98.67779857142858,88.61642857142857,9.350080645161292,2022-S1,1,2022,2,,,-0.28332482689054084,0.12203460525817,9.350080645161292,0.8,,,,,
2022-02-08,5.262599945068359,5.480981120356807,72230569455,3736950599,56107201008.833336,1.0006190538406372,75967520054,5432984881340.634,95.63999938964844,21.440000534057617,,,,1.1625,10.75,98.71789,88.5325,9.578387096774192,2022-S1,1,2022,2,,,-0.09470994575336844,0.04062862077571783,9.578387096774192,0.8,,,,,
2022-02-09,5.258399963378906,5.473031793321882,53386706331,2902479207,55604901527.63333,1.0007439851760864,56289185538,5432423999636.634,95.48999786376952,19.959999084472656,,,,1.1842857142857144,10.75,98.75798142857144,88.44857142857143,9.81331797235023,2022-S1,1,2022,2,,,-0.09479973052672896,0.04061212063126707,9.81331797235023,0.8,,,,,
2022-02-10,5.234499931335449,5.46480655670166,77334791717,4195499895,56214014554.86667,1.0007259845733645,81530291612,5433051445111.8,95.5500030517578,23.90999984741211,,,,1.206071428571429,10.75,98.79807285714286,88.36464285714285,10.0548732718894,2022-S1,1,2022,2,,,-0.09488968569305589,0.04059563388343346,10.0548732718894,0.8,,,,,
